v2	-D(Ix(U1:3))/D(v2)	V(n003)	V(n002)	Ix(U1:1)	Ix(U1:3)
0.000000000000000e+00	1.548755e-02	2.300000e+00	0.000000e+00	-3.203563e-23	-5.927456e-23
1.000000000000000e-02	1.541706e-02	2.300000e+00	1.000000e-02	1.548755e-04	-1.548755e-04
2.000000000000000e-02	1.527426e-02	2.300000e+00	2.000000e-02	3.083413e-04	-3.083413e-04
3.000000000000000e-02	1.512772e-02	2.300000e+00	3.000000e-02	4.603608e-04	-4.603608e-04
4.000000000000000e-02	1.497728e-02	2.300000e+00	4.000000e-02	6.108957e-04	-6.108957e-04
5.000000000000000e-02	1.482275e-02	2.300000e+00	5.000000e-02	7.599063e-04	-7.599063e-04
6.000000000000000e-02	1.466396e-02	2.300000e+00	6.000000e-02	9.073507e-04	-9.073507e-04
7.000000000000001e-02	1.450069e-02	2.300000e+00	7.000000e-02	1.053185e-03	-1.053185e-03
8.000000000000000e-02	1.433273e-02	2.300000e+00	8.000000e-02	1.197365e-03	-1.197365e-03
9.000000000000000e-02	1.415987e-02	2.300000e+00	9.000000e-02	1.339840e-03	-1.339840e-03
9.999999999999999e-02	1.398186e-02	2.300000e+00	1.000000e-01	1.480562e-03	-1.480562e-03
1.100000000000000e-01	1.379842e-02	2.300000e+00	1.100000e-01	1.619477e-03	-1.619477e-03
1.200000000000000e-01	1.360928e-02	2.300000e+00	1.200000e-01	1.756530e-03	-1.756530e-03
1.300000000000000e-01	1.341414e-02	2.300000e+00	1.300000e-01	1.891663e-03	-1.891663e-03
1.400000000000000e-01	1.321269e-02	2.300000e+00	1.400000e-01	2.024813e-03	-2.024813e-03
1.500000000000000e-01	1.300456e-02	2.300000e+00	1.500000e-01	2.155917e-03	-2.155917e-03
1.600000000000000e-01	1.278938e-02	2.300000e+00	1.600000e-01	2.284904e-03	-2.284904e-03
1.700000000000000e-01	1.256673e-02	2.300000e+00	1.700000e-01	2.411704e-03	-2.411704e-03
1.800000000000000e-01	1.233618e-02	2.300000e+00	1.800000e-01	2.536239e-03	-2.536239e-03
1.900000000000000e-01	1.209727e-02	2.300000e+00	1.900000e-01	2.658428e-03	-2.658428e-03
2.000000000000000e-01	1.184946e-02	2.300000e+00	2.000000e-01	2.778185e-03	-2.778185e-03
2.100000000000000e-01	1.159218e-02	2.300000e+00	2.100000e-01	2.895417e-03	-2.895417e-03
2.200000000000001e-01	1.132482e-02	2.300000e+00	2.200000e-01	3.010028e-03	-3.010028e-03
2.300000000000001e-01	1.104670e-02	2.300000e+00	2.300000e-01	3.121914e-03	-3.121914e-03
2.400000000000001e-01	1.075709e-02	2.300000e+00	2.400000e-01	3.230962e-03	-3.230962e-03
2.500000000000001e-01	1.045517e-02	2.300000e+00	2.500000e-01	3.337055e-03	-3.337055e-03
2.600000000000001e-01	1.014001e-02	2.300000e+00	2.600000e-01	3.440066e-03	-3.440066e-03
2.700000000000001e-01	9.810657e-03	2.300000e+00	2.700000e-01	3.539856e-03	-3.539856e-03
2.800000000000001e-01	9.466009e-03	2.300000e+00	2.800000e-01	3.636279e-03	-3.636279e-03
2.900000000000001e-01	9.104819e-03	2.300000e+00	2.900000e-01	3.729176e-03	-3.729176e-03
3.000000000000001e-01	8.725736e-03	2.300000e+00	3.000000e-01	3.818375e-03	-3.818375e-03
3.100000000000001e-01	8.327211e-03	2.300000e+00	3.100000e-01	3.903690e-03	-3.903690e-03
3.200000000000001e-01	7.907569e-03	2.300000e+00	3.200000e-01	3.984919e-03	-3.984919e-03
