Single
3648
Scan 0,   
0, 78.0
1, 78.0
2, 81.0
3, 78.0
4, 74.0
5, 78.0
6, 78.0
7, 76.0
8, 76.0
9, 76.0
10, 79.0
11, 76.0
12, 76.0
13, 78.0
14, 76.0
15, 76.0
16, 75.0
17, 80.0
18, 79.0
19, 76.0
20, 72.0
21, 80.0
22, 75.0
23, 75.0
24, 75.0
25, 72.0
26, 78.0
27, 76.0
28, 79.0
29, 74.0
30, 78.0
31, 76.0
32, 75.0
33, 72.0
34, 79.0
35, 77.0
36, 74.0
37, 75.0
38, 72.0
39, 71.0
40, 79.0
41, 75.0
42, 80.0
43, 72.0
44, 79.0
45, 77.0
46, 75.0
47, 71.0
48, 74.0
49, 73.0
50, 74.0
51, 77.0
52, 80.0
53, 73.0
54, 77.0
55, 76.0
56, 79.0
57, 76.0
58, 81.0
59, 70.0
60, 79.0
61, 79.0
62, 74.0
63, 77.0
64, 78.0
65, 80.0
66, 76.0
67, 75.0
68, 76.0
69, 75.0
70, 80.0
71, 76.0
72, 77.0
73, 76.0
74, 72.0
75, 79.0
76, 71.0
77, 73.0
78, 78.0
79, 81.0
80, 77.0
81, 74.0
82, 80.0
83, 81.0
84, 72.0
85, 78.0
86, 79.0
87, 77.0
88, 77.0
89, 72.0
90, 78.0
91, 75.0
92, 73.0
93, 77.0
94, 74.0
95, 77.0
96, 77.0
97, 74.0
98, 74.0
99, 75.0
100, 75.0
101, 77.0
102, 75.0
103, 72.0
104, 76.0
105, 81.0
106, 76.0
107, 74.0
108, 76.0
109, 75.0
110, 71.0
111, 74.0
112, 73.0
113, 71.0
114, 77.0
115, 82.0
116, 81.0
117, 73.0
118, 82.0
119, 76.0
120, 73.0
121, 82.0
122, 76.0
123, 75.0
124, 78.0
125, 77.0
126, 77.0
127, 75.0
128, 75.0
129, 78.0
130, 71.0
131, 78.0
132, 78.0
133, 77.0
134, 77.0
135, 78.0
136, 77.0
137, 78.0
138, 74.0
139, 75.0
140, 74.0
141, 74.0
142, 73.0
143, 79.0
144, 75.0
145, 79.0
146, 80.0
147, 76.0
148, 76.0
149, 78.0
150, 79.0
151, 72.0
152, 79.0
153, 73.0
154, 75.0
155, 72.0
156, 76.0
157, 76.0
158, 78.0
159, 74.0
160, 74.0
161, 73.0
162, 74.0
163, 75.0
164, 76.0
165, 77.0
166, 78.0
167, 74.0
168, 77.0
169, 76.0
170, 83.0
171, 78.0
172, 72.0
173, 78.0
174, 78.0
175, 73.0
176, 78.0
177, 70.0
178, 72.0
179, 77.0
180, 74.0
181, 79.0
182, 73.0
183, 70.0
184, 77.0
185, 72.0
186, 74.0
187, 72.0
188, 77.0
189, 78.0
190, 77.0
191, 77.0
192, 73.0
193, 73.0
194, 74.0
195, 78.0
196, 78.0
197, 77.0
198, 75.0
199, 74.0
200, 75.0
201, 71.0
202, 73.0
203, 77.0
204, 74.0
205, 80.0
206, 77.0
207, 77.0
208, 74.0
209, 75.0
210, 76.0
211, 72.0
212, 75.0
213, 74.0
214, 77.0
215, 73.0
216, 76.0
217, 77.0
218, 75.0
219, 75.0
220, 75.0
221, 73.0
222, 82.0
223, 73.0
224, 79.0
225, 76.0
226, 76.0
227, 75.0
228, 78.0
229, 77.0
230, 79.0
231, 72.0
232, 75.0
233, 76.0
234, 77.0
235, 74.0
236, 78.0
237, 75.0
238, 79.0
239, 77.0
240, 74.0
241, 76.0
242, 78.0
243, 69.0
244, 74.0
245, 70.0
246, 73.0
247, 77.0
248, 75.0
249, 77.0
250, 75.0
251, 76.0
252, 72.0
