Single
3648
Scan 0,   
0, 83.0
1, 79.0
2, 82.0
3, 81.0
4, 79.0
5, 76.0
6, 74.0
7, 73.0
8, 82.0
9, 76.0
10, 78.0
11, 79.0
12, 79.0
13, 80.0
14, 79.0
15, 81.0
16, 81.0
17, 79.0
18, 78.0
19, 79.0
20, 78.0
21, 77.0
22, 81.0
23, 75.0
24, 85.0
25, 74.0
26, 77.0
27, 77.0
28, 81.0
29, 79.0
30, 82.0
31, 76.0
32, 78.0
33, 71.0
34, 77.0
35, 78.0
36, 76.0
37, 76.0
38, 78.0
39, 76.0
40, 77.0
41, 76.0
42, 79.0
43, 78.0
44, 76.0
45, 78.0
46, 77.0
47, 75.0
48, 79.0
49, 79.0
50, 83.0
51, 79.0
52, 78.0
53, 84.0
54, 80.0
55, 76.0
56, 76.0
57, 77.0
58, 76.0
59, 80.0
60, 78.0
61, 75.0
62, 78.0
63, 77.0
64, 77.0
65, 77.0
66, 83.0
67, 76.0
68, 79.0
69, 77.0
70, 77.0
71, 80.0
72, 73.0
73, 75.0
74, 79.0
75, 76.0
76, 74.0
77, 77.0
78, 77.0
79, 71.0
80, 83.0
81, 76.0
82, 78.0
83, 75.0
84, 81.0
85, 76.0
86, 80.0
87, 73.0
88, 78.0
89, 75.0
90, 83.0
91, 74.0
92, 79.0
93, 80.0
94, 78.0
95, 76.0
96, 77.0
97, 78.0
98, 74.0
99, 80.0
100, 79.0
101, 76.0
102, 78.0
103, 75.0
104, 81.0
105, 74.0
106, 79.0
107, 79.0
108, 79.0
109, 77.0
110, 78.0
111, 80.0
112, 80.0
113, 77.0
114, 76.0
115, 74.0
116, 76.0
117, 78.0
118, 76.0
119, 75.0
120, 79.0
121, 79.0
122, 81.0
123, 77.0
124, 71.0
125, 76.0
126, 81.0
127, 76.0
128, 77.0
129, 76.0
130, 81.0
131, 71.0
132, 80.0
133, 74.0
134, 81.0
135, 73.0
136, 84.0
137, 75.0
138, 78.0
139, 73.0
140, 77.0
141, 78.0
142, 80.0
143, 76.0
144, 75.0
145, 77.0
146, 77.0
147, 77.0
148, 77.0
149, 80.0
150, 77.0
151, 77.0
152, 83.0
153, 77.0
154, 80.0
155, 75.0
156, 75.0
157, 80.0
158, 77.0
159, 78.0
160, 80.0
161, 76.0
162, 73.0
163, 78.0
164, 79.0
165, 81.0
166, 83.0
167, 78.0
168, 81.0
169, 77.0
170, 80.0
171, 77.0
172, 85.0
173, 80.0
174, 76.0
175, 73.0
176, 82.0
177, 75.0
178, 84.0
179, 72.0
180, 80.0
181, 74.0
182, 81.0
183, 74.0
184, 78.0
185, 78.0
186, 82.0
187, 78.0
188, 80.0
189, 79.0
190, 80.0
191, 72.0
192, 85.0
193, 78.0
194, 81.0
195, 77.0
196, 77.0
197, 79.0
198, 76.0
199, 76.0
200, 77.0
201, 75.0
202, 76.0
203, 75.0
204, 80.0
205, 73.0
206, 84.0
207, 74.0
208, 78.0
209, 80.0
210, 76.0
211, 76.0
212, 76.0
213, 77.0
214, 77.0
215, 74.0
216, 79.0
217, 78.0
218, 75.0
219, 79.0
220, 78.0
221, 81.0
222, 81.0
223, 80.0
224, 83.0
225, 74.0
226, 78.0
227, 76.0
228, 75.0
229, 82.0
230, 81.0
231, 80.0
232, 78.0
233, 76.0
234, 78.0
235, 73.0
236, 73.0
237, 72.0
238, 78.0
239, 77.0
240, 80.0
241, 76.0
242, 79.0
243, 78.0
244, 78.0
245, 73.0
246, 78.0
247, 77.0
248, 77.0
249, 81.0
250, 81.0
251, 76.0
252, 80.0
253, 78.0
254, 79.0
255, 77.0
256, 80.0
257, 78.0
258, 77.0
259, 77.0
260, 80.0
261, 75.0
262, 79.0
263, 74.0
264, 80.0
265, 77.0
266, 77.0
267, 74.0
268, 76.0
269, 83.0
270, 78.0
271, 77.0
272, 79.0
273, 77.0
274, 82.0
275, 72.0
276, 82.0
277, 80.0
278, 77.0
279, 80.0
280, 79.0
281, 79.0
282, 77.0
283, 70.0
284, 79.0
285, 74.0
286, 78.0
287, 75.0
288, 78.0
289, 78.0
290, 81.0
291, 76.0
292, 81.0
293, 73.0
294, 82.0
295, 78.0
296, 81.0
297, 75.0
298, 73.0
299, 75.0
300, 81.0
301, 74.0
302, 80.0
303, 79.0
304, 75.0
305, 82.0
306, 77.0
307, 76.0
308, 78.0
309, 76.0
310, 83.0
311, 73.0
312, 77.0
313, 78.0
314, 76.0
315, 78.0
316, 83.0
317, 79.0
318, 78.0
319, 79.0
320, 80.0
321, 78.0
322, 78.0
323, 75.0
324, 80.0
325, 75.0
326, 78.0
327, 77.0
328, 82.0
329, 77.0
330, 80.0
331, 78.0
332, 79.0
333, 76.0
334, 78.0
335, 78.0
336, 80.0
337, 76.0
338, 86.0
339, 74.0
340, 84.0
341, 74.0
342, 81.0
343, 77.0
344, 76.0
345, 74.0
346, 78.0
347, 76.0
348, 76.0
349, 76.0
350, 77.0
351, 70.0
352, 77.0
353, 75.0
354, 76.0
355, 69.0
356, 76.0
357, 78.0
358, 76.0
359, 77.0
360, 81.0
361, 82.0
362, 78.0
363, 75.0
364, 80.0
365, 74.0
366, 80.0
367, 78.0
368, 76.0
369, 77.0
370, 81.0
371, 74.0
372, 80.0
373, 74.0
374, 80.0
375, 75.0
376, 81.0
377, 77.0
378, 79.0
379, 78.0
380, 80.0
381, 76.0
382, 79.0
383, 78.0
384, 79.0
385, 78.0
386, 80.0
387, 81.0
388, 79.0
389, 77.0
390, 78.0
391, 78.0
392, 78.0
393, 71.0
394, 82.0
395, 77.0
396, 78.0
397, 75.0
398, 79.0
399, 82.0
400, 82.0
401, 75.0
402, 76.0
403, 80.0
404, 76.0
405, 76.0
406, 75.0
407, 76.0
408, 77.0
409, 78.0
410, 75.0
411, 75.0
412, 79.0
413, 78.0
414, 75.0
415, 76.0
416, 83.0
417, 76.0
418, 79.0
419, 78.0
420, 81.0
421, 78.0
422, 77.0
423, 80.0
424, 78.0
425, 73.0
426, 79.0
427, 77.0
428, 81.0
429, 75.0
430, 77.0
431, 80.0
432, 80.0
433, 77.0
434, 77.0
435, 77.0
436, 79.0
437, 79.0
438, 82.0
439, 73.0
440, 79.0
441, 77.0
442, 77.0
443, 74.0
444, 81.0
445, 76.0
446, 79.0
447, 73.0
448, 76.0
449, 78.0
450, 78.0
451, 72.0
452, 77.0
453, 74.0
454, 83.0
455, 75.0
456, 80.0
457, 81.0
458, 82.0
459, 78.0
460, 78.0
461, 76.0
462, 81.0
463, 71.0
464, 81.0
465, 76.0
466, 80.0
467, 73.0
468, 83.0
469, 79.0
470, 77.0
471, 80.0
472, 82.0
473, 79.0
474, 84.0
475, 77.0
476, 75.0
477, 74.0
478, 79.0
479, 74.0
480, 79.0
481, 75.0
482, 82.0
483, 73.0
484, 82.0
485, 75.0
486, 75.0
487, 74.0
488, 79.0
489, 73.0
490, 76.0
491, 76.0
492, 78.0
493, 75.0
494, 79.0
495, 79.0
496, 75.0
497, 78.0
498, 80.0
499, 78.0
500, 84.0
501, 76.0
502, 78.0
503, 71.0
504, 83.0
505, 77.0
506, 80.0
507, 81.0
508, 83.0
509, 78.0
510, 79.0
511, 76.0
512, 77.0
513, 78.0
514, 73.0
515, 79.0
516, 80.0
517, 74.0
518, 79.0
519, 82.0
520, 76.0
521, 80.0
522, 80.0
523, 76.0
524, 77.0
525, 75.0
526, 76.0
527, 75.0
528, 76.0
529, 81.0
530, 80.0
531, 79.0
532, 78.0
533, 77.0
534, 76.0
535, 78.0
536, 77.0
537, 82.0
538, 81.0
539, 77.0
540, 73.0
541, 84.0
542, 78.0
543, 81.0
544, 82.0
545, 78.0
546, 76.0
547, 81.0
548, 81.0
549, 79.0
550, 81.0
551, 81.0
552, 80.0
553, 75.0
554, 79.0
555, 76.0
556, 83.0
557, 79.0
558, 79.0
559, 75.0
560, 79.0
561, 79.0
562, 80.0
563, 78.0
564, 83.0
565, 73.0
566, 81.0
567, 76.0
568, 78.0
569, 75.0
570, 81.0
571, 75.0
572, 83.0
573, 77.0
574, 86.0
575, 79.0
576, 79.0
