Single
3648
Scan 0,   
0, 79.0
1, 78.0
2, 77.0
3, 80.0
4, 83.0
5, 76.0
6, 76.0
7, 80.0
8, 77.0
9, 79.0
10, 80.0
11, 78.0
12, 78.0
13, 77.0
14, 80.0
15, 76.0
16, 76.0
17, 76.0
18, 76.0
19, 76.0
20, 81.0
21, 71.0
22, 80.0
23, 75.0
24, 84.0
25, 77.0
26, 80.0
27, 75.0
28, 83.0
29, 75.0
30, 78.0
31, 80.0
32, 76.0
33, 79.0
34, 84.0
35, 75.0
36, 78.0
37, 76.0
38, 80.0
39, 77.0
40, 76.0
41, 76.0
42, 79.0
43, 79.0
44, 78.0
45, 77.0
46, 77.0
47, 77.0
48, 81.0
49, 74.0
50, 73.0
51, 75.0
52, 79.0
53, 72.0
54, 80.0
55, 75.0
56, 79.0
57, 78.0
58, 79.0
59, 72.0
60, 79.0
61, 75.0
62, 79.0
63, 75.0
64, 78.0
65, 78.0
66, 75.0
67, 77.0
68, 75.0
69, 71.0
70, 75.0
71, 77.0
72, 79.0
73, 75.0
74, 78.0
75, 77.0
76, 78.0
77, 74.0
78, 79.0
79, 74.0
80, 80.0
81, 74.0
82, 76.0
83, 76.0
84, 78.0
85, 80.0
86, 80.0
87, 78.0
88, 80.0
89, 79.0
90, 76.0
91, 74.0
92, 76.0
93, 75.0
94, 79.0
95, 75.0
96, 79.0
97, 74.0
98, 80.0
99, 74.0
100, 80.0
101, 73.0
102, 74.0
103, 79.0
104, 77.0
105, 72.0
106, 78.0
107, 75.0
108, 78.0
109, 77.0
110, 77.0
111, 74.0
112, 76.0
113, 75.0
114, 78.0
115, 76.0
116, 79.0
117, 73.0
118, 78.0
119, 76.0
120, 76.0
121, 77.0
122, 81.0
123, 80.0
124, 78.0
125, 77.0
126, 73.0
127, 78.0
128, 82.0
129, 78.0
130, 79.0
131, 76.0
132, 83.0
133, 72.0
134, 77.0
135, 74.0
136, 78.0
137, 75.0
138, 78.0
139, 77.0
140, 79.0
141, 74.0
142, 76.0
143, 76.0
144, 79.0
145, 78.0
146, 82.0
147, 74.0
148, 80.0
149, 72.0
150, 81.0
151, 76.0
152, 80.0
153, 69.0
154, 83.0
155, 77.0
156, 78.0
157, 79.0
158, 75.0
159, 75.0
160, 78.0
161, 74.0
162, 78.0
163, 78.0
164, 77.0
165, 75.0
166, 78.0
167, 78.0
168, 77.0
169, 73.0
170, 81.0
171, 76.0
172, 78.0
173, 75.0
174, 80.0
175, 74.0
176, 84.0
177, 78.0
178, 73.0
179, 78.0
180, 77.0
181, 75.0
182, 78.0
183, 74.0
184, 76.0
185, 74.0
186, 76.0
187, 73.0
188, 80.0
189, 76.0
190, 77.0
191, 78.0
192, 73.0
193, 78.0
194, 83.0
195, 77.0
196, 80.0
197, 78.0
198, 74.0
199, 73.0
200, 81.0
201, 77.0
202, 79.0
203, 78.0
204, 79.0
205, 76.0
206, 83.0
207, 77.0
208, 80.0
209, 76.0
210, 78.0
211, 74.0
212, 80.0
213, 78.0
214, 79.0
215, 76.0
216, 80.0
217, 77.0
218, 79.0
219, 77.0
220, 83.0
221, 74.0
222, 79.0
223, 77.0
224, 78.0
225, 75.0
226, 77.0
227, 73.0
228, 76.0
229, 77.0
230, 83.0
231, 76.0
232, 75.0
233, 78.0
234, 78.0
235, 75.0
236, 82.0
237, 77.0
238, 80.0
239, 79.0
240, 76.0
241, 82.0
242, 77.0
243, 71.0
244, 79.0
245, 77.0
246, 82.0
247, 74.0
248, 75.0
249, 72.0
250, 81.0
251, 76.0
252, 78.0
253, 77.0
254, 81.0
255, 77.0
256, 73.0
257, 75.0
258, 79.0
259, 78.0
260, 78.0
261, 74.0
262, 79.0
263, 73.0
264, 81.0
265, 74.0
266, 81.0
267, 73.0
268, 79.0
269, 74.0
270, 81.0
271, 74.0
272, 78.0
273, 80.0
274, 76.0
275, 76.0
276, 77.0
277, 74.0
278, 77.0
279, 73.0
280, 79.0
281, 77.0
282, 72.0
283, 78.0
284, 83.0
285, 74.0
286, 74.0
287, 77.0
288, 78.0
289, 82.0
290, 77.0
291, 77.0
292, 79.0
293, 80.0
294, 77.0
295, 80.0
296, 75.0
297, 79.0
298, 76.0
299, 74.0
300, 80.0
301, 74.0
302, 80.0
303, 74.0
304, 75.0
305, 79.0
306, 77.0
307, 75.0
308, 77.0
309, 74.0
310, 79.0
311, 75.0
312, 80.0
313, 70.0
314, 83.0
315, 81.0
316, 80.0
317, 76.0
318, 77.0
319, 76.0
320, 80.0
321, 77.0
322, 76.0
323, 78.0
324, 78.0
325, 75.0
326, 78.0
327, 79.0
328, 76.0
329, 76.0
330, 79.0
331, 78.0
332, 80.0
333, 80.0
334, 76.0
335, 78.0
336, 81.0
337, 77.0
338, 77.0
339, 73.0
340, 78.0
341, 76.0
342, 80.0
343, 83.0
344, 82.0
345, 80.0
346, 78.0
347, 80.0
348, 78.0
349, 74.0
350, 80.0
351, 82.0
352, 79.0
353, 77.0
354, 81.0
355, 70.0
356, 77.0
357, 77.0
358, 84.0
359, 80.0
360, 77.0
361, 77.0
362, 80.0
363, 80.0
364, 85.0
365, 81.0
366, 81.0
367, 76.0
368, 73.0
369, 74.0
370, 75.0
371, 75.0
372, 77.0
373, 72.0
374, 78.0
375, 78.0
376, 80.0
377, 73.0
378, 80.0
379, 74.0
380, 73.0
381, 75.0
382, 79.0
383, 71.0
384, 79.0
385, 79.0
386, 80.0
387, 78.0
388, 77.0
389, 75.0
390, 82.0
391, 78.0
392, 78.0
393, 81.0
394, 81.0
395, 75.0
396, 75.0
397, 76.0
398, 79.0
399, 76.0
400, 76.0
401, 74.0
402, 79.0
403, 81.0
404, 75.0
405, 74.0
406, 78.0
407, 75.0
408, 76.0
409, 77.0
410, 82.0
411, 74.0
412, 77.0
413, 78.0
414, 78.0
415, 78.0
416, 75.0
417, 75.0
418, 81.0
419, 78.0
420, 82.0
421, 74.0
422, 80.0
423, 78.0
424, 78.0
425, 75.0
426, 78.0
427, 77.0
428, 77.0
429, 79.0
430, 80.0
431, 76.0
432, 73.0
433, 75.0
434, 76.0
435, 78.0
436, 77.0
437, 76.0
438, 82.0
439, 81.0
440, 78.0
441, 77.0
442, 78.0
443, 76.0
444, 79.0
445, 73.0
446, 81.0
447, 73.0
448, 84.0
449, 78.0
450, 74.0
451, 76.0
452, 79.0
453, 76.0
454, 79.0
455, 78.0
456, 79.0
457, 79.0
458, 77.0
459, 79.0
460, 80.0
461, 74.0
462, 78.0
463, 79.0
464, 78.0
465, 76.0
466, 82.0
467, 71.0
468, 81.0
469, 74.0
470, 84.0
471, 74.0
472, 76.0
473, 76.0
474, 79.0
475, 79.0
476, 77.0
477, 77.0
478, 75.0
479, 76.0
480, 77.0
481, 77.0
482, 80.0
483, 80.0
484, 77.0
485, 75.0
486, 77.0
487, 77.0
488, 79.0
489, 75.0
490, 78.0
491, 81.0
492, 79.0
493, 75.0
494, 76.0
495, 78.0
496, 78.0
497, 78.0
498, 76.0
499, 76.0
500, 79.0
501, 80.0
502, 77.0
503, 75.0
504, 84.0
505, 77.0
506, 78.0
507, 78.0
508, 81.0
509, 80.0
510, 83.0
511, 77.0
512, 77.0
513, 78.0
514, 78.0
515, 74.0
516, 77.0
517, 73.0
518, 72.0
519, 73.0
520, 80.0
521, 77.0
522, 78.0
523, 78.0
524, 77.0
525, 78.0
526, 78.0
527, 71.0
528, 83.0
529, 78.0
530, 82.0
531, 81.0
532, 79.0
533, 78.0
534, 76.0
535, 76.0
536, 78.0
537, 78.0
538, 84.0
539, 75.0
540, 80.0
541, 77.0
542, 79.0
543, 76.0
544, 78.0
545, 82.0
546, 77.0
547, 75.0
548, 79.0
549, 78.0
550, 84.0
551, 76.0
552, 84.0
553, 77.0
554, 81.0
555, 79.0
556, 80.0
557, 77.0
558, 80.0
559, 72.0
560, 72.0
561, 71.0
562, 79.0
563, 80.0
564, 77.0
565, 77.0
566, 76.0
567, 72.0
568, 74.0
569, 78.0
570, 82.0
571, 74.0
572, 84.0
573, 80.0
574, 79.0
575, 73.0
576, 76.0
577, 80.0
578, 75.0
579, 80.0
580, 83.0
581, 73.0
582, 77.0
583, 77.0
584, 76.0
585, 80.0
586, 75.0
587, 81.0
588, 81.0
589, 66.0
590, 79.0
591, 79.0
592, 77.0
593, 74.0
594, 79.0
595, 77.0
596, 78.0
597, 78.0
598, 76.0
599, 74.0
600, 77.0
601, 75.0
602, 78.0
603, 75.0
604, 74.0
605, 70.0
606, 76.0
607, 74.0
608, 80.0
609, 77.0
610, 84.0
611, 79.0
612, 78.0
613, 74.0
614, 81.0
615, 79.0
616, 79.0
617, 72.0
618, 82.0
619, 83.0
620, 78.0
621, 78.0
622, 77.0
623, 76.0
624, 81.0
625, 76.0
626, 76.0
627, 77.0
628, 81.0
629, 73.0
630, 78.0
631, 75.0
632, 79.0
633, 73.0
634, 78.0
635, 76.0
636, 82.0
637, 82.0
638, 81.0
639, 80.0
640, 80.0
641, 77.0
642, 80.0
643, 77.0
644, 79.0
645, 74.0
646, 74.0
647, 80.0
648, 77.0
649, 73.0
650, 80.0
651, 77.0
652, 79.0
653, 81.0
654, 81.0
655, 80.0
656, 82.0
657, 80.0
658, 80.0
659, 76.0
660, 77.0
661, 74.0
662, 78.0
663, 76.0
664, 80.0
665, 74.0
666, 80.0
667, 75.0
668, 81.0
669, 73.0
670, 78.0
671, 79.0
672, 80.0
673, 75.0
674, 80.0
675, 78.0
676, 78.0
677, 78.0
678, 80.0
679, 75.0
680, 82.0
681, 81.0
682, 71.0
683, 77.0
684, 77.0
685, 74.0
686, 80.0
687, 78.0
688, 81.0
689, 77.0
690, 77.0
691, 80.0
692, 77.0
693, 79.0
694, 77.0
695, 76.0
696, 83.0
697, 74.0
698, 79.0
699, 77.0
700, 80.0
701, 73.0
702, 75.0
703, 79.0
704, 79.0
705, 74.0
706, 77.0
707, 70.0
708, 84.0
709, 75.0
710, 79.0
711, 78.0
712, 75.0
713, 82.0
714, 77.0
715, 70.0
716, 76.0
717, 78.0
718, 80.0
719, 75.0
720, 80.0
721, 77.0
722, 83.0
723, 74.0
724, 82.0
725, 70.0
726, 76.0
727, 72.0
728, 80.0
729, 78.0
730, 82.0
731, 78.0
732, 80.0
733, 75.0
734, 82.0
735, 74.0
736, 82.0
737, 77.0
738, 78.0
739, 73.0
740, 78.0
741, 81.0
742, 83.0
743, 75.0
744, 77.0
745, 73.0
746, 81.0
747, 77.0
748, 80.0
749, 78.0
750, 78.0
751, 77.0
752, 83.0
753, 78.0
754, 80.0
755, 79.0
756, 79.0
757, 74.0
758, 80.0
759, 74.0
760, 80.0
761, 72.0
762, 80.0
763, 75.0
764, 79.0
765, 74.0
766, 82.0
767, 79.0
768, 74.0
769, 76.0
770, 77.0
771, 78.0
772, 77.0
773, 75.0
774, 79.0
775, 75.0
776, 75.0
777, 75.0
778, 78.0
779, 78.0
780, 82.0
781, 75.0
782, 79.0
783, 78.0
784, 78.0
785, 80.0
786, 80.0
787, 77.0
788, 81.0
789, 75.0
790, 81.0
791, 75.0
792, 81.0
793, 76.0
794, 78.0
795, 77.0
796, 81.0
797, 78.0
798, 79.0
799, 77.0
800, 77.0
801, 79.0
802, 80.0
803, 75.0
804, 80.0
805, 75.0
806, 79.0
807, 78.0
808, 76.0
809, 75.0
810, 79.0
811, 82.0
812, 81.0
813, 74.0
814, 82.0
815, 75.0
816, 80.0
817, 77.0
818, 82.0
819, 80.0
820, 76.0
821, 76.0
822, 77.0
823, 77.0
824, 78.0
825, 73.0
826, 72.0
827, 72.0
828, 80.0
829, 82.0
830, 80.0
831, 77.0
832, 75.0
833, 80.0
834, 83.0
835, 75.0
836, 74.0
837, 78.0
838, 81.0
839, 76.0
840, 78.0
841, 79.0
842, 77.0
843, 75.0
