Single
3648
Scan 0,   
0, 65.0
1, 61.0
2, 59.0
3, 64.0
4, 65.0
5, 63.0
6, 62.0
7, 63.0
8, 62.0
9, 62.0
10, 59.0
11, 64.0
12, 64.0
13, 64.0
14, 62.0
15, 62.0
16, 66.0
17, 60.0
18, 59.0
19, 65.0
20, 60.0
21, 66.0
22, 63.0
23, 62.0
24, 63.0
25, 62.0
26, 63.0
27, 60.0
28, 61.0
29, 62.0
30, 62.0
31, 61.0
32, 62.0
33, 67.0
34, 66.0
35, 63.0
36, 64.0
37, 61.0
38, 63.0
39, 59.0
40, 66.0
41, 61.0
42, 65.0
43, 60.0
44, 63.0
45, 64.0
46, 65.0
47, 65.0
48, 65.0
49, 63.0
50, 61.0
51, 61.0
52, 63.0
53, 62.0
54, 61.0
55, 58.0
56, 61.0
57, 57.0
58, 64.0
59, 63.0
60, 62.0
61, 64.0
62, 63.0
63, 57.0
64, 63.0
65, 62.0
66, 62.0
67, 66.0
68, 58.0
69, 63.0
70, 65.0
71, 60.0
72, 61.0
73, 61.0
74, 69.0
75, 62.0
76, 59.0
77, 57.0
78, 64.0
79, 58.0
80, 65.0
81, 62.0
82, 64.0
83, 60.0
84, 63.0
85, 67.0
86, 62.0
87, 65.0
88, 62.0
89, 59.0
90, 62.0
91, 63.0
92, 62.0
93, 65.0
94, 63.0
95, 64.0
96, 67.0
97, 58.0
98, 64.0
99, 62.0
100, 65.0
101, 62.0
102, 61.0
103, 61.0
104, 63.0
105, 63.0
106, 66.0
107, 62.0
108, 61.0
109, 62.0
110, 58.0
111, 62.0
112, 64.0
113, 60.0
114, 62.0
115, 66.0
116, 63.0
117, 54.0
118, 63.0
119, 61.0
120, 65.0
121, 59.0
122, 59.0
123, 57.0
124, 63.0
125, 67.0
126, 63.0
127, 67.0
128, 62.0
129, 66.0
130, 64.0
131, 60.0
132, 63.0
133, 65.0
134, 62.0
135, 59.0
136, 65.0
137, 66.0
138, 64.0
139, 63.0
140, 62.0
141, 61.0
142, 62.0
143, 65.0
144, 66.0
145, 61.0
146, 69.0
147, 60.0
148, 62.0
149, 61.0
150, 66.0
151, 63.0
152, 61.0
153, 61.0
154, 60.0
155, 59.0
156, 61.0
157, 61.0
158, 59.0
159, 60.0
160, 68.0
161, 64.0
162, 66.0
163, 65.0
164, 64.0
165, 63.0
166, 63.0
167, 62.0
168, 64.0
169, 62.0
170, 58.0
171, 60.0
172, 63.0
173, 61.0
174, 63.0
175, 65.0
176, 61.0
177, 59.0
178, 64.0
179, 65.0
180, 60.0
181, 59.0
182, 63.0
183, 67.0
184, 65.0
185, 60.0
186, 64.0
187, 63.0
188, 61.0
189, 60.0
190, 64.0
191, 61.0
192, 63.0
193, 64.0
194, 67.0
195, 66.0
196, 61.0
197, 65.0
198, 64.0
199, 63.0
200, 60.0
201, 61.0
202, 61.0
203, 64.0
204, 66.0
205, 63.0
206, 64.0
207, 65.0
208, 62.0
209, 63.0
210, 63.0
211, 61.0
212, 64.0
213, 63.0
214, 59.0
215, 65.0
216, 60.0
217, 63.0
218, 64.0
219, 62.0
220, 66.0
221, 63.0
222, 63.0
223, 63.0
224, 64.0
225, 61.0
226, 61.0
227, 63.0
228, 63.0
229, 64.0
230, 65.0
231, 64.0
232, 65.0
233, 66.0
234, 62.0
235, 59.0
236, 63.0
237, 65.0
238, 63.0
239, 63.0
240, 63.0
241, 65.0
242, 68.0
243, 64.0
244, 63.0
245, 61.0
246, 62.0
247, 66.0
248, 64.0
249, 62.0
250, 61.0
251, 65.0
252, 64.0
253, 60.0
254, 63.0
255, 62.0
256, 65.0
257, 66.0
258, 65.0
259, 62.0
260, 65.0
261, 63.0
262, 63.0
263, 68.0
264, 61.0
265, 63.0
266, 58.0
267, 63.0
268, 65.0
269, 63.0
270, 62.0
271, 61.0
272, 65.0
273, 61.0
274, 63.0
275, 61.0
276, 62.0
277, 62.0
278, 64.0
279, 61.0
280, 61.0
281, 61.0
282, 63.0
283, 63.0
284, 64.0
285, 61.0
286, 64.0
287, 64.0
288, 63.0
289, 66.0
290, 66.0
291, 61.0
292, 63.0
293, 64.0
294, 59.0
295, 64.0
296, 62.0
297, 63.0
298, 62.0
299, 58.0
300, 61.0
301, 63.0
302, 62.0
303, 63.0
304, 65.0
305, 58.0
306, 63.0
307, 64.0
308, 63.0
309, 59.0
310, 65.0
311, 65.0
312, 61.0
313, 61.0
314, 64.0
315, 61.0
316, 64.0
317, 63.0
318, 64.0
319, 61.0
320, 64.0
321, 68.0
322, 65.0
323, 62.0
324, 62.0
325, 65.0
326, 59.0
327, 64.0
328, 60.0
329, 59.0
330, 66.0
331, 65.0
332, 62.0
333, 68.0
334, 63.0
335, 66.0
336, 60.0
337, 63.0
338, 63.0
339, 63.0
340, 64.0
341, 63.0
342, 61.0
343, 65.0
344, 62.0
345, 65.0
346, 62.0
347, 63.0
348, 63.0
349, 61.0
350, 62.0
351, 62.0
352, 63.0
353, 64.0
354, 68.0
355, 63.0
356, 60.0
357, 64.0
358, 63.0
359, 65.0
360, 60.0
361, 61.0
362, 58.0
363, 61.0
364, 60.0
365, 61.0
366, 63.0
367, 61.0
368, 67.0
369, 64.0
370, 63.0
371, 64.0
372, 59.0
373, 62.0
374, 65.0
375, 61.0
376, 59.0
377, 65.0
378, 62.0
379, 57.0
380, 63.0
381, 64.0
382, 59.0
383, 61.0
384, 62.0
385, 60.0
386, 62.0
387, 64.0
388, 59.0
389, 62.0
390, 61.0
391, 61.0
392, 61.0
393, 61.0
394, 64.0
395, 62.0
396, 65.0
397, 61.0
398, 61.0
399, 58.0
400, 60.0
401, 61.0
402, 62.0
403, 63.0
404, 61.0
405, 65.0
406, 64.0
407, 57.0
408, 64.0
409, 65.0
410, 63.0
411, 62.0
412, 64.0
413, 59.0
414, 64.0
415, 67.0
416, 63.0
417, 63.0
418, 62.0
419, 66.0
420, 63.0
421, 66.0
422, 61.0
423, 65.0
424, 66.0
425, 64.0
426, 68.0
427, 62.0
428, 65.0
429, 63.0
430, 65.0
431, 63.0
432, 66.0
433, 61.0
434, 57.0
435, 64.0
436, 62.0
437, 64.0
438, 61.0
439, 64.0
440, 63.0
441, 65.0
442, 64.0
443, 62.0
444, 63.0
445, 58.0
446, 60.0
447, 64.0
448, 62.0
449, 60.0
450, 62.0
451, 63.0
452, 59.0
453, 61.0
454, 62.0
455, 62.0
456, 61.0
457, 66.0
458, 64.0
459, 56.0
460, 63.0
461, 60.0
462, 60.0
463, 67.0
464, 63.0
465, 61.0
466, 62.0
467, 59.0
468, 69.0
469, 63.0
470, 63.0
471, 65.0
472, 63.0
473, 63.0
474, 63.0
475, 61.0
476, 67.0
477, 66.0
478, 62.0
479, 61.0
480, 65.0
481, 65.0
482, 62.0
483, 65.0
484, 65.0
485, 62.0
486, 60.0
487, 61.0
488, 59.0
489, 60.0
490, 61.0
491, 59.0
492, 65.0
493, 67.0
494, 62.0
495, 61.0
496, 63.0
497, 60.0
498, 65.0
499, 60.0
500, 62.0
501, 64.0
502, 61.0
503, 60.0
504, 61.0
505, 60.0
506, 63.0
507, 60.0
508, 63.0
509, 63.0
510, 63.0
511, 62.0
512, 59.0
513, 65.0
514, 67.0
515, 67.0
516, 62.0
517, 63.0
518, 63.0
519, 59.0
520, 61.0
521, 63.0
522, 60.0
523, 59.0
524, 64.0
525, 59.0
526, 61.0
527, 64.0
528, 61.0
529, 61.0
530, 63.0
531, 65.0
532, 66.0
533, 65.0
534, 68.0
535, 63.0
536, 60.0
537, 60.0
538, 61.0
539, 64.0
540, 63.0
