   wavelength (nm)   spectral power density (mW/cm2.nm)
   1.1500000e+03   2.4421126e-02
   1.1300000e+03   1.8909497e-02
   1.1100000e+03   2.6075942e-02
   1.0900000e+03   4.8757126e-02
   1.0700000e+03   6.3750109e-02
   1.0500000e+03   6.7283443e-02
   1.0300000e+03   7.0260829e-02
   1.0100000e+03   7.2682335e-02
   9.9000000e+02   7.2076560e-02
   9.7000000e+02   5.6666155e-02
   9.5000000e+02   3.3867438e-02
   9.3000000e+02   4.0363584e-02
   9.1000000e+02   7.0800444e-02
   8.9000000e+02   8.5932406e-02
   8.7000000e+02   9.5605126e-02
   8.5000000e+02   9.6939947e-02
   8.3000000e+02   8.9112127e-02
   8.1000000e+02   9.3635804e-02
   7.9000000e+02   1.1063514e-01
   7.7000000e+02   1.0507756e-01
   7.5000000e+02   1.1973802e-01
   7.3000000e+02   1.1035422e-01
   7.1000000e+02   1.3166993e-01
   6.9000000e+02   1.1300009e-01
   6.7000000e+02   1.3923001e-01
   6.5000000e+02   1.4199000e-01
   6.3000000e+02   1.4341002e-01
   6.1000000e+02   1.4852996e-01
   5.9000000e+02   1.3955004e-01
   5.7000000e+02   1.5015003e-01
   5.5000000e+02   1.5614999e-01
   5.3000000e+02   1.5723991e-01
   5.1000000e+02   1.5864996e-01
   4.9000000e+02   1.5392009e-01
   4.7000000e+02   1.5810002e-01
   4.5000000e+02   1.5259975e-01
   4.3000000e+02   1.0719008e-01
   4.1000000e+02   1.1581990e-01
   3.9000000e+02   7.2069998e-02
   3.7000000e+02   6.6619958e-02
   3.5000000e+02   4.8369988e-02
