Wavelength (nm),Schwarzes_Silizium,Wavelength (nm),Si_Waver,Wavelength (nm),Si_Waver_Matt,Wavelength (nm),Si_amorph,Wavelength (nm),Pyramide,Wavelength (nm),AR_Glanzend,Wavelength (nm),AR_Matt,
2000,39.96949005,2000,50.49773026,2000,49.00118256,2000,86.24448395,2000,21.85388947,2000,34.23413467,2000,28.09568596,
1999,39.95724487,1999,50.45646286,1999,49.02299118,1999,85.95256042,1999,21.86819077,1999,34.29156113,1999,28.11151123,
1998,39.8991394,1998,50.4523468,1998,49.04685593,1998,85.72231293,1998,21.83316994,1998,34.31935501,1998,28.11236382,
1997,39.87903214,1997,50.44124603,1997,48.97457886,1997,85.35290527,1997,21.82224846,1997,34.24331665,1997,28.0621376,
1996,39.89072418,1996,50.47473907,1996,49.0213356,1996,85.15285492,1996,21.80672073,1996,34.26675034,1996,28.04497719,
1995,39.89853668,1995,50.46136856,1995,49.00156784,1995,84.80062866,1995,21.81217766,1995,34.27584839,1995,28.02453613,
1994,39.86118698,1994,50.51921082,1994,49.04387283,1994,84.59264374,1994,21.80574989,1994,34.30629349,1994,28.04889679,
1993,39.83325195,1993,50.50217438,1993,49.02812195,1993,84.33002472,1993,21.78903389,1993,34.28346634,1993,28.03708076,
1992,39.82866287,1992,50.48570633,1992,49.0341568,1992,83.94878387,1992,21.82849121,1992,34.26196289,1992,28.00533676,
1991,39.80625916,1991,50.4957428,1991,49.00978088,1991,83.71498871,1991,21.78805161,1991,34.23162842,1991,28.03307724,
1990,39.79096603,1990,50.47409439,1990,48.99361801,1990,83.35958862,1990,21.75157738,1990,34.25405502,1990,28.02112389,
1989,39.76987076,1989,50.46480942,1989,48.99628067,1989,83.01467133,1989,21.73184395,1989,34.26608658,1989,28.03837395,
1988,39.74670792,1988,50.47758865,1988,48.99209595,1988,82.69957733,1988,21.74871826,1988,34.26858139,1988,28.02103424,
1987,39.73779678,1987,50.53809357,1987,49.02618408,1987,82.43215179,1987,21.71008682,1987,34.26877975,1987,28.00211906,
1986,39.73695755,1986,50.48995209,1986,49.00100708,1986,82.03166962,1986,21.72543907,1986,34.22175598,1986,27.99998283,
1985,39.71865845,1985,50.53173447,1985,48.99430466,1985,81.70809174,1985,21.71471786,1985,34.25652313,1985,27.96519661,
1984,39.73599243,1984,50.50465393,1984,49.01966858,1984,81.35015106,1984,21.66194916,1984,34.22668457,1984,27.95054626,
1983,39.67442703,1983,50.45869827,1983,49.02183533,1983,81.01239777,1983,21.68183708,1983,34.25338745,1983,27.97062683,
1982,39.6198616,1982,50.51122284,1982,48.973629,1982,80.66965485,1982,21.69184875,1982,34.25485229,1982,27.97100449,
1981,39.61743546,1981,50.55990982,1981,48.98732758,1981,80.23916626,1981,21.68248367,1981,34.18408966,1981,27.97417259,
1980,39.65650177,1980,50.49633408,1980,48.98976135,1980,79.91756439,1980,21.63228607,1980,34.24868774,1980,27.97582436,
1979,39.61001968,1979,50.50924301,1979,49.03078842,1979,79.51732635,1979,21.612257,1979,34.22062302,1979,27.95981789,
1978,39.62710953,1978,50.55923462,1978,48.99024963,1978,79.14341736,1978,21.617239,1978,34.27425766,1978,27.94150352,
1977,39.62612152,1977,50.51463318,1977,49.00880051,1977,78.75765228,1977,21.58885384,1977,34.25529099,1977,27.9499054,
1976,39.6359787,1976,50.54279709,1976,49.00570679,1976,78.32790375,1976,21.59911156,1976,34.25198746,1976,27.90625381,
1975,39.5496788,1975,50.56936646,1975,48.99721146,1975,77.91564178,1975,21.5526104,1975,34.27758408,1975,27.93324852,
1974,39.55467606,1974,50.5315361,1974,48.98794174,1974,77.4933548,1974,21.53705597,1974,34.23851013,1974,27.90529633,
1973,39.57289886,1973,50.56620789,1973,49.0564537,1973,77.05908203,1973,21.539814,1973,34.28330231,1973,27.90899849,
1972,39.5424614,1972,50.5715065,1972,49.00686646,1972,76.65870667,1972,21.51718521,1972,34.2626915,1972,27.86399078,
1971,39.51917267,1971,50.52062988,1971,49.0015831,1971,76.22936249,1971,21.50027657,1971,34.247715,1971,27.88871574,
1970,39.53239822,1970,50.55059052,1970,49.02482605,1970,75.76333618,1970,21.46761703,1970,34.22489929,1970,27.84437752,
1969,39.48834229,1969,50.59077072,1969,49.00409698,1969,75.33673096,1969,21.46742249,1969,34.23861313,1969,27.88278198,
1968,39.48364258,1968,50.54339218,1968,49.00374985,1968,74.85643768,1968,21.49667358,1968,34.2517395,1968,27.87485695,
1967,39.46244812,1967,50.56335831,1967,48.98814774,1967,74.39745331,1967,21.4757061,1967,34.26065445,1967,27.8762722,
1966,39.43690872,1966,50.57405853,1966,48.97303772,1966,73.88007355,1966,21.41425133,1966,34.23524475,1966,27.87130547,
1965,39.4291153,1965,50.56347275,1965,48.99434662,1965,73.43546295,1965,21.4198761,1965,34.23466492,1965,27.85284424,
1964,39.46521378,1964,50.58864975,1964,48.98707581,1964,72.94314575,1964,21.42559242,1964,34.26912308,1964,27.83753967,
1963,39.4075737,1963,50.5436554,1963,49.00688553,1963,72.41570282,1963,21.37764549,1963,34.21655273,1963,27.84330177,
1962,39.43850327,1962,50.56779861,1962,48.97505188,1962,71.89511108,1962,21.36923981,1962,34.25204468,1962,27.82789993,
1961,39.39980316,1961,50.5912056,1961,48.99818802,1961,71.40879059,1961,21.35808372,1961,34.23336029,1961,27.81962204,
1960,39.38939667,1960,50.57342529,1960,48.96002579,1960,70.84728241,1960,21.34384155,1960,34.24181366,1960,27.82279778,
1959,39.41270828,1959,50.56496811,1959,48.96557617,1959,70.33784485,1959,21.35278702,1959,34.23446655,1959,27.81347847,
1958,39.36460495,1958,50.58551025,1958,48.99147034,1958,69.76082611,1958,21.35707855,1958,34.26388168,1958,27.80960464,
1957,39.36994553,1957,50.57512665,1957,48.97764587,1957,69.23075867,1957,21.31345749,1957,34.23233414,1957,27.78490257,
1956,39.35341644,1956,50.52579498,1956,49.01717758,1956,68.68383026,1956,21.29826164,1956,34.23075485,1956,27.80387497,
1955,39.33251953,1955,50.5737915,1955,49.00469589,1955,68.13391876,1955,21.2801609,1955,34.25040436,1955,27.79301643,
1954,39.36397171,1954,50.53185272,1954,48.99458694,1954,67.55830383,1954,21.27796364,1954,34.22581482,1954,27.78297424,
1953,39.31947327,1953,50.59078217,1953,49.00386047,1953,67.01960754,1953,21.25848579,1953,34.2148056,1953,27.77225113,
1952,39.30662155,1952,50.58369446,1952,49.00276566,1952,66.35915375,1952,21.29574203,1952,34.22921753,1952,27.7959919,
1951,39.30041504,1951,50.56706238,1951,48.96095657,1951,65.837677,1951,21.28104782,1951,34.21562576,1951,27.78785324,
1950,39.27238083,1950,50.59144592,1950,48.97094727,1950,65.20737457,1950,21.21092796,1950,34.20339203,1950,27.76067924,
1949,39.27462006,1949,50.55660629,1949,48.98888397,1949,64.65879822,1949,21.22708702,1949,34.22716522,1949,27.76670837,
1948,39.27714157,1948,50.55672073,1948,48.95652771,1948,64.01345062,1948,21.20649147,1948,34.19361496,1948,27.81154442,
1947,39.25468445,1947,50.55485535,1947,48.99518204,1947,63.42778778,1947,21.20186234,1947,34.21485901,1947,27.78948021,
1946,39.25312424,1946,50.56486893,1946,48.99983978,1946,62.81511688,1946,21.22052574,1946,34.22438812,1946,27.77805901,
1945,39.25573349,1945,50.57511902,1945,48.96793365,1945,62.20604324,1945,21.17673302,1945,34.18871307,1945,27.76221848,
1944,39.24652481,1944,50.55400085,1944,48.97732162,1944,61.59106064,1944,21.18370628,1944,34.24474335,1944,27.77067184,
1943,39.22473526,1943,50.55518723,1943,48.9430275,1943,60.94044495,1943,21.15174484,1943,34.20936966,1943,27.8026371,
1942,39.23756409,1942,50.55275726,1942,48.95983124,1942,60.33309174,1942,21.18323517,1942,34.18784332,1942,27.78725243,
1941,39.24711227,1941,50.55105591,1941,48.96435547,1941,59.71866989,1941,21.18108177,1941,34.20883942,1941,27.75228691,
1940,39.21363831,1940,50.54310608,1940,48.9529686,1940,59.06484604,1940,21.15687943,1940,34.21375275,1940,27.79288292,
1939,39.19125366,1939,50.52936554,1939,48.94308472,1939,58.43037796,1939,21.14380836,1939,34.21151733,1939,27.76351357,
1938,39.17734146,1938,50.52708435,1938,48.92240524,1938,57.82159042,1938,21.1730423,1938,34.193367,1938,27.74104118,
1937,39.18910217,1937,50.5488472,1937,48.9591713,1937,57.21256256,1937,21.13433456,1937,34.21871185,1937,27.76665306,
1936,39.18483353,1936,50.50515366,1936,48.93554306,1936,56.59750748,1936,21.14738464,1936,34.20165253,1936,27.78178787,
1935,39.17323685,1935,50.50669861,1935,48.91146088,1935,55.95265579,1935,21.15525246,1935,34.20684052,1935,27.74866867,
1934,39.16556168,1934,50.49737167,1934,48.95916748,1934,55.34937286,1934,21.15259743,1934,34.20084,1934,27.73903084,
1933,39.16411591,1933,50.49321747,1933,48.92591476,1933,54.70369339,1933,21.15498543,1933,34.21557236,1933,27.76865005,
1932,39.17689514,1932,50.52896118,1932,48.94362259,1932,54.11955643,1932,21.18187714,1932,34.18437195,1932,27.75424957,
1931,39.16025925,1931,50.49618912,1931,48.95153427,1931,53.50927734,1931,21.15941811,1931,34.20495605,1931,27.77267456,
1930,39.14847183,1930,50.47436905,1930,48.91807938,1930,52.91886902,1930,21.17207146,1930,34.22037125,1930,27.76634026,
1929,39.15597153,1929,50.49961853,1929,48.9062767,1929,52.32313156,1929,21.19215012,1929,34.18606949,1929,27.76253891,
1928,39.13254547,1928,50.470047,1928,48.90802002,1928,51.73274994,1928,21.19044876,1928,34.15909576,1928,27.78019524,
1927,39.15207291,1927,50.49472046,1927,48.89355469,1927,51.17517853,1927,21.22792816,1927,34.21950531,1927,27.77204132,
1926,39.16126251,1926,50.45159531,1926,48.91433716,1926,50.54861832,1926,21.21931076,1926,34.23933411,1926,27.74085999,
1925,39.12151337,1925,50.48553467,1925,48.86311722,1925,49.99697876,1925,21.24414825,1925,34.22202301,1925,27.80464363,
1924,39.15562439,1924,50.43646622,1924,48.91412735,1924,49.50963593,1924,21.26309013,1924,34.2232399,1924,27.74090767,
1923,39.11674118,1923,50.46412277,1923,48.87928772,1923,48.97083664,1923,21.30436707,1923,34.20690155,1923,27.79135323,
1922,39.11275482,1922,50.45969009,1922,48.90255737,1922,48.45589447,1922,21.32029152,1922,34.17212677,1922,27.7870121,
1921,39.10904312,1921,50.43188858,1921,48.84710693,1921,47.89852524,1921,21.32079124,1921,34.18808746,1921,27.76138687,
1920,39.14253235,1920,50.42154312,1920,48.86712265,1920,47.45215607,1920,21.34475899,1920,34.18991089,1920,27.75743675,
1919,39.13304138,1919,50.41621399,1919,48.8611908,1919,46.97729492,1919,21.39261436,1919,34.21358109,1919,27.80966187,
1918,39.11581802,1918,50.38764572,1918,48.84740067,1918,46.51242065,1918,21.40847206,1918,34.17589951,1918,27.79354477,
1917,39.07506943,1917,50.385952,1917,48.83749008,1917,46.06605911,1917,21.46289635,1917,34.19718933,1917,27.80894279,
1916,39.07321548,1916,50.40416718,1916,48.840271,1916,45.68523407,1916,21.4718914,1916,34.19866562,1916,27.80247879,
1915,39.10136414,1915,50.3691864,1915,48.79999924,1915,45.28949738,1915,21.52617073,1915,34.19605637,1915,27.80753899,
1914,39.09441376,1914,50.38903809,1914,48.82174683,1914,44.90212631,1914,21.5662899,1914,34.20304871,1914,27.81772232,
1913,39.07074356,1913,50.3896904,1913,48.78499222,1913,44.55784988,1913,21.56192398,1913,34.20427322,1913,27.84109497,
1912,39.07712555,1912,50.38341904,1912,48.78710556,1912,44.23368454,1912,21.63319969,1912,34.20564651,1912,27.8362236,
1911,39.08280182,1911,50.33251572,1911,48.79393387,1911,43.91703033,1911,21.67146683,1911,34.20737839,1911,27.82685089,
1910,39.07553864,1910,50.33586121,1910,48.74813843,1910,43.63913727,1910,21.71921539,1910,34.2364502,1910,27.82361794,
1909,39.09796906,1909,50.32144928,1909,48.8040657,1909,43.40297318,1909,21.77345467,1909,34.23329926,1909,27.84296227,
1908,39.09312057,1908,50.3332901,1908,48.75676727,1908,43.16136169,1908,21.81586266,1908,34.18476105,1908,27.84502411,
1907,39.09156799,1907,50.34160614,1907,48.74066162,1907,42.92728424,1907,21.84071159,1907,34.19902039,1907,27.85372734,
1906,39.04854202,1906,50.36110306,1906,48.73422241,1906,42.75661469,1906,21.8811264,1906,34.20215225,1906,27.82217026,
1905,39.05655289,1905,50.25597382,1905,48.73104095,1905,42.61730957,1905,21.95681572,1905,34.1870842,1905,27.85386658,
1904,39.05739975,1904,50.26154327,1904,48.72938919,1904,42.48067856,1904,21.99601173,1904,34.21611023,1904,27.87426186,
1903,39.06793594,1903,50.26983643,1903,48.72441101,1903,42.42077637,1903,22.04901314,1903,34.20414734,1903,27.88224792,
1902,39.0615654,1902,50.26033401,1902,48.69048309,1902,42.34362411,1902,22.07336426,1902,34.23073959,1902,27.86513519,
1901,39.04830551,1901,50.25151443,1901,48.68787003,1901,42.3005867,1901,22.14193726,1901,34.21841812,1901,27.86040688,
1900,39.06100845,1900,50.23636627,1900,48.73615646,1900,42.28781509,1900,22.18939209,1900,34.20813751,1900,27.90946007,
1899,39.06150436,1899,50.23327637,1899,48.64705658,1899,42.3242836,1899,22.20907593,1899,34.231884,1899,27.87991524,
1898,39.03396606,1898,50.21585846,1898,48.66277695,1898,42.35104752,1898,22.2433815,1898,34.23449326,1898,27.88585472,
1897,39.05209732,1897,50.21830368,1897,48.63227463,1897,42.44135666,1897,22.31256294,1897,34.21133423,1897,27.89513397,
1896,39.06661987,1896,50.22667694,1896,48.66543579,1896,42.50514984,1896,22.35668182,1896,34.24198151,1896,27.92668343,
1895,39.03995895,1895,50.17876434,1895,48.62802505,1895,42.63942337,1895,22.3771534,1895,34.24149704,1895,27.90930176,
1894,39.08728409,1894,50.18857193,1894,48.6180191,1894,42.77002335,1894,22.44276047,1894,34.23804092,1894,27.91692352,
1893,39.04178238,1893,50.15412521,1893,48.61239243,1893,42.94615173,1893,22.45995522,1893,34.23687363,1893,27.91386604,
1892,39.05780029,1892,50.15711975,1892,48.60654068,1892,43.09171295,1892,22.50864983,1892,34.23145676,1892,27.90976524,
1891,39.05972672,1891,50.09311295,1891,48.56932068,1891,43.28262711,1891,22.52972794,1891,34.22637558,1891,27.92242241,
1890,39.02113342,1890,50.09658432,1890,48.56938553,1890,43.49990082,1890,22.54806519,1890,34.21957016,1890,27.94203377,
1889,39.04656219,1889,50.09583664,1889,48.57243729,1889,43.74525833,1889,22.5687294,1889,34.24337387,1889,27.92322922,
1888,39.02717209,1888,50.06153107,1888,48.54404831,1888,43.96987152,1888,22.61901474,1888,34.21538544,1888,27.94383812,
1887,39.03346252,1887,50.04252243,1887,48.54734802,1887,44.20349884,1887,22.60581398,1887,34.21979141,1887,27.91629982,
1886,39.05230331,1886,50.03281403,1886,48.53495026,1886,44.51598358,1886,22.64964485,1886,34.2401886,1886,27.95309448,
1885,39.03271103,1885,50.00840378,1885,48.52531815,1885,44.79767227,1885,22.6978569,1885,34.22814941,1885,27.95191765,
1884,39.07646942,1884,50.00121689,1884,48.538311,1884,45.11823654,1884,22.70053291,1884,34.19482422,1884,27.96973228,
1883,39.06471252,1883,49.97192764,1883,48.51897049,1883,45.46195221,1883,22.70393181,1883,34.24565506,1883,27.95657158,
1882,39.06539536,1882,49.96304321,1882,48.49031448,1882,45.85433578,1882,22.73476601,1882,34.21844864,1882,27.9653759,
